2=0.4901511998890278,4=0.11908725204605351,7=0.08863920099875161,1=0.08593424885559718,10=0.05937023165487585,3=0.03856290747676518,6=0.024830073519212105,8=0.01782494104591485,5=0.017686225551394125,12=0.016021639617145256,0=0.015952281869884878,11=0.012969898737689023,9=0.012969898737689018,
9=0.24459809853068257,2=0.21305099394987007,1=0.09665802362431561,10=0.09348890809564954,6=0.05805243445692877,4=0.05070584845865739,8=0.04076634975511376,5=0.04047824834341684,12=0.0374531835205992,0=0.035292422932872325,11=0.0322673581100547,3=0.031259003169115486,7=0.025929127052722517,
9=0.17174959871589107,10=0.1600550332492548,6=0.14331575326759918,1=0.07085530841550101,12=0.06695711992662233,5=0.06076587938546205,8=0.05709699610181148,0=0.048612703508369624,4=0.04838339830314148,3=0.04815409309791333,11=0.04173354735152491,2=0.041274936941068596,7=0.041045631735840436,
7=0.24812734082396998,11=0.1337078651685393,1=0.10861423220973775,6=0.07453183520599241,8=0.07134831460674149,12=0.06647940074906361,5=0.05037453183520596,10=0.04999999999999998,3=0.04925093632958798,0=0.042696629213483134,4=0.037640449438202224,2=0.03370786516853932,9=0.03352059925093632,
9=0.1811128945960404,12=0.10299625468164779,6=0.10246120920278207,8=0.09684323167469229,5=0.07383627608346702,0=0.0695559122525414,3=0.06072766185125729,4=0.05698234349919736,11=0.05430711610486887,10=0.053237025147137434,1=0.05216693418940603,7=0.04815409309791325,2=0.04761904761904755,
9=0.19157303370786513,8=0.1115168539325842,12=0.10308988764044939,5=0.07359550561797751,0=0.07050561797752804,6=0.06601123595505616,3=0.061235955056179736,4=0.05814606741573031,1=0.0570224719101123,11=0.05702247191011229,7=0.05028089887640441,2=0.04999999999999991,10=0.04999999999999991,
12=0.21672908863920087,1=0.12159800249687878,8=0.07965043695380769,6=0.07215980024968781,5=0.06991260923845191,3=0.06691635455680395,10=0.06616729088639196,0=0.06167290886392005,4=0.056179775280898805,9=0.0499375780274656,7=0.047690387016229664,11=0.04694132334581768,2=0.04444444444444438,
4=0.1303962152572442,12=0.11679479597871081,8=0.11649911295091664,5=0.0866351271437019,1=0.08190419869899454,0=0.07155529272619743,6=0.066528681253696,3=0.05943228858663508,10=0.05529272619751625,9=0.05499704316972205,7=0.05351862803075104,2=0.05322294500295684,11=0.05322294500295684,
8=0.13142662580864828,12=0.12461695607763028,5=0.09022812393598906,0=0.07660878447395296,4=0.07490636704119845,6=0.07456588355464755,3=0.06401089547156959,1=0.06060606060606056,2=0.06060606060606056,7=0.06060606060606056,9=0.06060606060606056,10=0.06060606060606056,11=0.06060606060606056,
12=0.2169163545568039,8=0.10705368289637954,5=0.0811485642946316,0=0.06772784019975023,6=0.06647940074906357,4=0.06585518102372025,3=0.05992509363295869,1=0.05586766541822711,7=0.05586766541822711,9=0.05586766541822711,10=0.05586766541822711,11=0.05586766541822711,2=0.05555555555555545,
